Rank,teamId,teamName,team,teamFullName,location,teamAbbrevName,teamLevel,synergyTeamId,newestTeamId,newestTeamLevel,newestTeamName,newestTeamAbbrevName,newestTeamLocation,G,SBOpp,SBA,SB,CS,SB%,SB2Opp,SBA2,SB2,CS2,SB2%,SB3Opp,SBA3,SB3,CS3,SB3%,SBAH,SBH,CSH
1,730173440,Keydets,VMI,Virginia Military Institute,VMI,VMI,BBC,,730173440,BBC,Keydets,VMI,VMI,53,1009,246,209,37,85.0%,601,157,127,30,80.9%,408,67,62,5,92.5%,7,5,2
2,343,Huskies,Northeastern,Northeastern University,Northeastern,NE,BBC,,343,BBC,Huskies,NE,Northeastern,60,991,228,196,32,86.0%,586,150,121,29,80.7%,405,39,36,3,92.3%,2,2,0
3,4767,Jaguars,Southern,Southern University,Southern,SOU,BBC,,4767,BBC,Jaguars,SOU,Southern,51,934,227,191,36,84.1%,583,152,124,28,81.6%,351,41,33,8,80.5%,7,7,0
4,730265088,Patriots,George Mason,George Mason University,George Mason,GMU,BBC,,730265088,BBC,Patriots,GMU,George Mason,61,1160,199,165,34,82.9%,688,129,104,25,80.6%,472,42,34,8,81.0%,8,7,1
5,5467,Cardinals,Louisville,University of Louisville,Louisville,LOU,BBC,,5467,BBC,Cardinals,LOU,Louisville,66,1118,182,162,20,89.0%,680,132,116,16,87.9%,438,34,30,4,88.2%,0,0,0
6,5376,Braves,Alcorn State,Alcorn State University,Alcorn State,ALCN,BBC,,5376,BBC,Braves,ALCN,Alcorn State,49,821,167,153,14,91.6%,470,108,98,10,90.7%,351,57,53,4,93.0%,2,2,0
7,730176512,Terriers,Wofford,Wofford College,Wofford,WOF,BBC,,730176512,BBC,Terriers,WOF,Wofford,60,1071,180,151,29,83.9%,636,134,110,24,82.1%,435,37,33,4,89.2%,5,4,1
8,730291712,Mountaineers,Mount St. Mary's,Mount St. Mary's University,Mount St. Mary's,MSM,BBC,,730291712,BBC,Mountaineers,MSM,Mount St. Mary's,51,881,182,148,34,81.3%,542,127,97,30,76.4%,339,28,25,3,89.3%,6,5,1
9,5386,Golden Grizzlies,Oakland,Oakland University,Oakland,OAK,BBC,,5386,BBC,Golden Grizzlies,OAK,Oakland,60,1010,176,146,30,83.0%,593,119,98,21,82.4%,417,40,32,8,80.0%,3,2,1
10,5486,Huskies,Connecticut,University of Connecticut,Connecticut,CONN,BBC,,5486,BBC,Huskies,CONN,Connecticut,59,1076,172,139,33,80.8%,668,129,102,27,79.1%,408,26,22,4,84.6%,3,1,2
11,730219264,Lancers,Longwood,Longwood University,Longwood,LONG,BBC,,730219264,BBC,Lancers,LONG,Longwood,52,880,161,135,26,83.9%,526,110,90,20,81.8%,354,33,28,5,84.8%,6,5,1
12,5378,Tigers,Grambling State,Grambling State University,Grambling State,GRAM,BBC,,5378,BBC,Tigers,GRAM,Grambling State,54,1069,148,133,15,89.9%,621,115,103,12,89.6%,448,24,22,2,91.7%,3,2,1
12,730194944,Pioneers,Sacred Heart,Sacred Heart University,Sacred Heart,SHU,BBC,,730194944,BBC,Pioneers,SHU,Sacred Heart,54,965,148,133,15,89.9%,570,98,86,12,87.8%,395,28,25,3,89.3%,4,4,0
12,5362,Wildcats,Kentucky,University of Kentucky,Kentucky,UK,BBC,,5362,BBC,Wildcats,UK,Kentucky,57,936,161,133,28,82.6%,535,106,84,22,79.2%,401,27,23,4,85.2%,4,2,2
15,730152960,Wildcats,Bethune-Cookman,Bethune-Cookman University,Bethune-Cookman,COOK,BBC,,730152960,BBC,Wildcats,COOK,Bethune-Cookman,60,1049,156,132,24,84.6%,613,103,85,18,82.5%,436,26,22,4,84.6%,8,6,2
16,730324992,Rams,Fordham,Fordham University,Fordham,FOR,BBC,,730324992,BBC,Rams,FOR,Fordham,58,1043,162,131,31,80.9%,641,119,94,25,79.0%,402,28,23,5,82.1%,3,2,1
17,730261504,Hatters,Stetson,Stetson University,Stetson,STET,BBC,,730261504,BBC,Hatters,STET,Stetson,63,1046,154,130,24,84.4%,657,130,109,21,83.8%,389,12,9,3,75.0%,3,3,0
18,730352896,Sharks,LIU Brooklyn,Long Island University-Brooklyn,LIU Brooklyn,LIU,BBC,,730352896,BBC,Sharks,LIU,LIU Brooklyn,58,953,153,129,24,84.3%,577,102,85,17,83.3%,376,25,20,5,80.0%,5,3,2
19,5390,Raiders,Wright State,Wright State University,Wright State,WRST,BBC,,5390,BBC,Raiders,WRST,Wright State,61,1088,158,128,30,81.0%,637,118,95,23,80.5%,451,25,19,6,76.0%,1,0,1
20,5465,Bearcats,Cincinnati,University of Cincinnati,Cincinnati,CIN,BBC,,5465,BBC,Bearcats,CIN,Cincinnati,59,1042,139,127,12,91.4%,620,95,85,10,89.5%,422,25,24,1,96.0%,2,1,1
20,4768,Tigers,Texas Southern,Texas Southern University,Texas Southern,TXSO,BBC,,4768,BBC,Tigers,TXSO,Texas Southern,54,1009,145,127,18,87.6%,592,106,90,16,84.9%,417,30,28,2,93.3%,1,1,0
20,730315008,Golden Flashes,Kent State,Kent State University,Kent State,KENT,BBC,,730315008,BBC,Golden Flashes,KENT,Kent State,56,1011,158,127,31,80.4%,571,111,86,25,77.5%,440,30,24,6,80.0%,3,3,0
23,730378240,Tigers,Jackson State,Jackson State University,Jackson State,JKST,BBC,,730378240,BBC,Tigers,JKST,Jackson State,51,948,143,124,19,86.7%,568,88,76,12,86.4%,380,34,31,3,91.2%,5,1,4
23,730163712,Rams,Rhode Island,University of Rhode Island,Rhode Island,URI,BBC,,730163712,BBC,Rams,URI,Rhode Island,60,1204,156,124,32,79.5%,715,118,94,24,79.7%,489,22,17,5,77.3%,6,3,3
25,227,Eagles,Boston College,Boston College,Boston College,BC,BBC,,227,BBC,Eagles,BC,Boston College,57,942,147,123,24,83.7%,621,87,69,18,79.3%,321,47,44,3,93.6%,3,0,3
26,730149120,Lions,Loyola Marymount,Loyola Marymount University,Loyola Marymount,LMU,BBC,,730149120,BBC,Lions,LMU,Loyola Marymount,58,1021,148,122,26,82.4%,593,113,91,22,80.5%,428,17,13,4,76.5%,8,8,0
26,730212096,Hilltoppers,Western Kentucky,Western Kentucky University,Western Kentucky,WKU,BBC,,730212096,BBC,Hilltoppers,WKU,Western Kentucky,60,1091,147,122,25,83.0%,635,105,82,23,78.1%,456,22,21,1,95.5%,5,4,1
28,730263552,Wolverines,Utah Valley,Utah Valley University,Utah Valley,UVU,BBC,,730263552,BBC,Wolverines,UVU,Utah Valley,62,1131,147,121,26,82.3%,696,118,95,23,80.5%,435,15,12,3,80.0%,5,5,0
28,730310656,Crusaders,Holy Cross,College of the Holy Cross,Holy Cross,HC,BBC,,730310656,BBC,Crusaders,HC,Holy Cross,58,1049,140,121,19,86.4%,621,93,77,16,82.8%,428,27,26,1,96.3%,5,3,2
28,730386688,Bobcats,Quinnipiac,Quinnipiac University,Quinnipiac,QUIN,BBC,,730386688,BBC,Bobcats,QUIN,Quinnipiac,56,1018,153,121,32,79.1%,593,110,86,24,78.2%,425,28,21,7,75.0%,2,1,1
31,730187776,Fighting Camels,Campbell,Campbell University,Campbell,CAMP,BBC,,730187776,BBC,Fighting Camels,CAMP,Campbell,56,940,140,120,20,85.7%,530,113,96,17,85.0%,410,22,19,3,86.4%,2,2,0
31,730225408,Gamecocks,Jacksonville State,Jacksonville State University,Jacksonville State,JVST,BBC,,730225408,BBC,Gamecocks,JVST,Jacksonville State,61,1038,142,120,22,84.5%,626,105,85,20,81.0%,412,20,18,2,90.0%,6,6,0
33,730355200,Knights,Fairleigh Dickinson,Fairleigh Dickinson University,Fairleigh Dickinson,FDU,BBC,,730355200,BBC,Knights,FDU,Fairleigh Dickinson,53,909,140,119,21,85.0%,567,107,89,18,83.2%,342,26,24,2,92.3%,1,0,1
33,730194688,Flyers,Dayton,University of Dayton,Dayton,DAY,BBC,,730194688,BBC,Flyers,DAY,Dayton,58,1090,140,119,21,85.0%,657,107,90,17,84.1%,433,23,19,4,82.6%,3,3,0
35,730238976,Skyhawks,UT Martin,University of Tennessee at Martin,UT Martin,UTM,BBC,,730238976,BBC,Skyhawks,UTM,UT Martin,54,917,143,118,25,82.5%,571,102,82,20,80.4%,346,27,25,2,92.6%,9,6,3
35,730177792,Cougars,College of Charleston,College of Charleston,College of Charleston,COFC,BBC,,730177792,BBC,Cougars,COFC,College of Charleston,59,1033,136,118,18,86.8%,576,96,79,17,82.3%,457,25,24,1,96.0%,2,2,0
35,730230272,Norse,Northern Kentucky,Northern Kentucky University,Northern Kentucky,NKU,BBC,,730230272,BBC,Norse,NKU,Northern Kentucky,56,1038,134,118,16,88.1%,585,109,95,14,87.2%,453,13,13,0,100.0%,4,2,2
38,2330,Hoyas,Georgetown,Georgetown University,Georgetown,GTWN,BBC,,2330,BBC,Hoyas,GTWN,Georgetown,56,879,142,117,25,82.4%,525,126,104,22,82.5%,354,15,13,2,86.7%,2,1,1
38,730294528,Sooners,Oklahoma,University of Oklahoma,Oklahoma,OKLA,BBC,,730294528,BBC,Sooners,OKLA,Oklahoma,60,1013,141,117,24,83.0%,640,99,79,20,79.8%,373,20,16,4,80.0%,0,0,0
40,730318336,Tigers,Towson,Towson University,Towson,TOWS,BBC,,730318336,BBC,Tigers,TOWS,Towson,56,878,137,114,23,83.2%,515,102,84,18,82.4%,363,23,20,3,87.0%,6,4,2
41,5035,Sun Devils,Arizona State,Arizona State University,Arizona State,ASU,BBC,,5035,BBC,Sun Devils,ASU,Arizona State,60,1078,135,112,23,83.0%,660,100,81,19,81.0%,418,25,23,2,92.0%,4,2,2
41,730249984,Seawolves,Stony Brook,Stony Brook University,Stony Brook,STON,BBC,,730249984,BBC,Seawolves,STON,Stony Brook,52,871,128,112,16,87.5%,544,99,83,16,83.8%,327,19,19,0,100.0%,0,0,0
43,5327,Mountaineers,West Virginia,West Virginia University,West Virginia,WVU,BBC,,5327,BBC,Mountaineers,WVU,West Virginia,60,1115,139,111,28,79.9%,697,103,81,22,78.6%,418,17,15,2,88.2%,8,4,4
44,730375936,Wildcats,Abilene Christian,Abilene Christian University,Abilene Christian,AC,BBC,,730375936,BBC,Wildcats,AC,Abilene Christian,57,1017,128,110,18,85.9%,613,107,90,17,84.1%,404,12,11,1,91.7%,0,0,0
45,4104,Chanticleers,Coastal Carolina,Coastal Carolina University,Coastal Carolina,CCAR,BBC,,4104,BBC,Chanticleers,CCAR,Coastal Carolina,69,1189,132,109,23,82.6%,698,98,83,15,84.7%,491,21,14,7,66.7%,3,2,1
46,4766,Panthers,Prairie View A&M,Prairie View A&M University,Prairie View A&M,PV,BBC,,4766,BBC,Panthers,PV,Prairie View A&M,53,860,133,108,25,81.2%,524,92,72,20,78.3%,336,23,18,5,78.3%,1,1,0
47,730198016,Patriots,Dallas Baptist,Dallas Baptist University,Dallas Baptist,DBU,BBC,,730198016,BBC,Patriots,DBU,Dallas Baptist,59,1047,121,106,15,87.6%,622,82,68,14,82.9%,425,18,17,1,94.4%,2,2,0
47,5326,Nittany Lions,Penn State,Penn State University,Penn State,PSU,BBC,,5326,BBC,Nittany Lions,PSU,Penn State,56,1008,122,106,16,86.9%,580,89,74,15,83.1%,428,19,18,1,94.7%,1,1,0
49,730190336,Bruins,Belmont,Belmont University,Belmont,BEL,BBC,,730190336,BBC,Bruins,BEL,Belmont,60,983,133,104,29,78.2%,590,94,73,21,77.7%,393,28,22,6,78.6%,2,0,2
50,730335488,Dolphins,Jacksonville,Jacksonville University,Jacksonville,JAC,BBC,,730335488,BBC,Dolphins,JAC,Jacksonville,56,943,117,103,14,88.0%,588,94,83,11,88.3%,355,16,13,3,81.3%,0,0,0
51,730236416,Tarleton State,Tarleton State,Tarleton State University,Tarleton State,TAR,BBC,,730236416,BBC,Tarleton State,TAR,Tarleton State,56,973,121,102,19,84.3%,586,82,66,16,80.5%,387,22,20,2,90.9%,1,0,1
52,730334464,Bulldogs,Yale,Yale University,Yale,YALE,BBC,,730334464,BBC,Bulldogs,YALE,Yale,45,800,128,101,27,78.9%,460,89,65,24,73.0%,340,22,20,2,90.9%,2,1,1
52,4164,Hawks,Monmouth,Monmouth University,Monmouth,MONM,BBC,,4164,BBC,Hawks,MONM,Monmouth,54,942,123,101,22,82.1%,561,96,79,17,82.3%,381,22,19,3,86.4%,2,0,2
52,5046,Commodores,Vanderbilt,Vanderbilt University,Vanderbilt,VAN,BBC,,5046,BBC,Commodores,VAN,Vanderbilt,61,903,120,101,19,84.2%,562,83,66,17,79.5%,341,17,15,2,88.2%,2,2,0
55,730366720,Bulldogs,The Citadel,The Citadel,The Citadel,CIT,BBC,,730366720,BBC,Bulldogs,CIT,The Citadel,57,931,128,100,28,78.1%,557,93,67,26,72.0%,374,21,19,2,90.5%,7,7,0
55,5075,Ragin' Cajuns,Louisiana,University of Louisiana at Lafayette,Louisiana,ULL,BBC,,5075,BBC,Ragin' Cajuns,ULL,Louisiana,58,963,125,100,25,80.0%,618,90,69,21,76.7%,345,20,16,4,80.0%,2,2,0
57,730365440,Bulldogs,Alabama A&M,Alabama A&M University,Alabama A&M,AAMU,BBC,,730365440,BBC,Bulldogs,AAMU,Alabama A&M,50,873,116,99,17,85.3%,519,78,66,12,84.6%,354,30,26,4,86.7%,4,3,1
58,730375424,Bonnies,St. Bonaventure,St. Bonaventure University,St. Bonaventure,SBON,BBC,,730375424,BBC,Bonnies,SBON,St. Bonaventure,49,853,115,97,18,84.3%,524,84,68,16,81.0%,329,18,16,2,88.9%,2,2,0
59,730267392,Highlanders,Radford,Radford University,Radford,RAD,BBC,,730267392,BBC,Highlanders,RAD,Radford,56,1062,117,96,21,82.1%,635,88,68,20,77.3%,427,19,18,1,94.7%,1,1,0
59,730296832,Ospreys,North Florida,University of North Florida,North Florida,UNF,BBC,,730296832,BBC,Ospreys,UNF,North Florida,56,967,110,96,14,87.3%,568,89,78,11,87.6%,399,14,11,3,78.6%,0,0,0
61,730181888,Tar Heels,North Carolina,University of North Carolina,North Carolina,UNC,BBC,,730181888,BBC,Tar Heels,UNC,North Carolina,61,1110,107,95,12,88.8%,671,79,68,11,86.1%,439,13,12,1,92.3%,1,1,0
61,4285,Red Storm,St. John's,St. John's University (NY),St. John's,SJU,BBC,,4285,BBC,Red Storm,SJU,St. John's,53,1000,111,95,16,85.6%,596,92,77,15,83.7%,404,14,13,1,92.9%,1,1,0
63,730194432,Buccaneers,Charleston Southern,Charleston Southern University,Charleston Southern,CHSO,BBC,,730194432,BBC,Buccaneers,CHSO,Charleston Southern,53,1059,120,94,26,78.3%,620,92,70,22,76.1%,439,12,9,3,75.0%,4,3,1
63,730245120,Pride,Hofstra,Hofstra University,Hofstra,HOF,BBC,,730245120,BBC,Pride,HOF,Hofstra,54,894,110,94,16,85.5%,528,86,73,13,84.9%,366,9,7,2,77.8%,3,2,1
63,730380544,Stags,Fairfield,Fairfield University,Fairfield,FAIR,BBC,,730380544,BBC,Stags,FAIR,Fairfield,58,1127,109,94,15,86.2%,661,85,71,14,83.5%,466,14,13,1,92.9%,0,0,0
63,5377,Golden Lions,Arkansas-Pine Bluff,University of Arkansas-Pine Bluff,Arkansas-Pine Bluff,ARPB,BBC,,5377,BBC,Golden Lions,ARPB,Arkansas-Pine Bluff,53,878,109,94,15,86.2%,538,90,76,14,84.4%,340,7,7,0,100.0%,4,3,1
67,730205440,Falcons,Air Force,Air Force Academy,Air Force,AFA,BBC,,730205440,BBC,Falcons,AFA,Air Force,54,903,121,93,28,76.9%,518,95,71,24,74.7%,385,13,10,3,76.9%,2,1,1
67,4864,Golden Gophers,Minnesota,University of Minnesota,Minnesota,MINN,BBC,,4864,BBC,Golden Gophers,MINN,Minnesota,52,840,110,93,17,84.5%,504,84,68,16,81.0%,336,14,13,1,92.9%,1,1,0
67,5363,Bearkats,Sam Houston State,Sam Houston State University,Sam Houston State,SHSU,BBC,,5363,BBC,Bearkats,SHSU,Sam Houston State,55,899,117,93,24,79.5%,555,98,77,21,78.6%,344,14,12,2,85.7%,2,1,1
70,730374656,Red Foxes,Marist,Marist College,Marist,MRST,BBC,,730374656,BBC,Red Foxes,MRST,Marist,54,993,105,92,13,87.6%,600,69,59,10,85.5%,393,24,22,2,91.7%,3,2,1
70,730271744,Panthers,Eastern Illinois,Eastern Illinois University,Eastern Illinois,EIU,BBC,,730271744,BBC,Panthers,EIU,Eastern Illinois,53,1079,105,92,13,87.6%,616,92,81,11,88.0%,463,1,1,0,100.0%,3,1,2
72,730353152,Boilermakers,Purdue,Purdue University,Purdue,PUR,BBC,,730353152,BBC,Boilermakers,PUR,Purdue,54,955,105,91,14,86.7%,581,82,70,12,85.4%,374,12,10,2,83.3%,4,4,0
73,730202880,Le Moyne,Le Moyne,Le Moyne College,Le Moyne,LMC,BBC,,730202880,BBC,Le Moyne,LMC,Le Moyne,48,896,109,90,19,82.6%,540,89,72,17,80.9%,356,16,15,1,93.8%,2,1,1
74,5091,Lancers,California Baptist,California Baptist University,California Baptist,CBU,BBC,,5091,BBC,Lancers,CBU,California Baptist,57,1067,110,89,21,80.9%,605,79,60,19,75.9%,462,21,19,2,90.5%,1,1,0
74,730317312,Spartans,South Carolina Upstate,University of South Carolina Upstate,South Carolina Upstate,SCUS,BBC,,730317312,BBC,Spartans,SCUS,South Carolina Upstate,61,1204,113,89,24,78.8%,709,89,69,20,77.5%,495,12,9,3,75.0%,1,0,1
74,4844,Buccaneers,East Tennessee State,East Tennessee State University,East Tennessee State,ETSU,BBC,,4844,BBC,Buccaneers,ETSU,East Tennessee State,58,989,98,89,9,90.8%,613,63,54,9,85.7%,376,18,18,0,100.0%,0,0,0
77,730386432,Bulldogs,Samford,Samford University,Samford,SAM,BBC,,730386432,BBC,Bulldogs,SAM,Samford,57,959,103,88,15,85.4%,578,78,64,14,82.1%,381,16,15,1,93.8%,0,0,0
77,730168320,Gators,Florida,University of Florida,Florida,FLA,BBC,,730168320,BBC,Gators,FLA,Florida,61,1005,104,88,16,84.6%,590,84,70,14,83.3%,415,11,10,1,90.9%,3,2,1
77,3030,Cougars,Houston,University of Houston,Houston,HOU,BBC,,3030,BBC,Cougars,HOU,Houston,55,902,106,88,18,83.0%,543,76,60,16,78.9%,359,19,17,2,89.5%,1,1,0
80,730149888,Peacocks,Saint Peter's,Saint Peter's University,Saint Peter's,SPC,BBC,,730149888,BBC,Peacocks,SPC,Saint Peter's,48,847,105,87,18,82.9%,499,77,61,16,79.2%,348,12,11,1,91.7%,3,2,1
80,3110,Huskies,Washington,University of Washington,Washington,WASH,BBC,,3110,BBC,Huskies,WASH,Washington,57,918,112,87,25,77.7%,567,91,67,24,73.6%,351,10,10,0,100.0%,5,4,1
82,4744,Black Knights,Army,Army West Point,Army,ARMY,BBC,,4744,BBC,Black Knights,ARMY,Army,50,867,100,86,14,86.0%,504,81,69,12,85.2%,363,7,6,1,85.7%,3,2,1
82,5464,Musketeers,Xavier,Xavier University,Xavier,XAV,BBC,,5464,BBC,Musketeers,XAV,Xavier,59,1020,98,86,12,87.8%,606,69,61,8,88.4%,414,19,16,3,84.2%,3,2,1
84,730358784,Tigers,Clemson,Clemson University,Clemson,CLEM,BBC,,730358784,BBC,Tigers,CLEM,Clemson,63,1148,101,85,16,84.2%,702,67,52,15,77.6%,446,15,15,0,100.0%,1,0,1
85,730340096,Dukes,James Madison,James Madison University,James Madison,JMU,BBC,,730340096,BBC,Dukes,JMU,James Madison,55,848,104,83,21,79.8%,487,82,63,19,76.8%,361,8,7,1,87.5%,2,1,1
85,730255872,Demons,Northwestern State,Northwestern State University,Northwestern State,NWST,BBC,,730255872,BBC,Demons,NWST,Northwestern State,56,1028,97,83,14,85.6%,593,82,68,14,82.9%,435,7,7,0,100.0%,2,2,0
85,2292,Bulls,South Florida,University of South Florida,South Florida,USF,BBC,,2292,BBC,Bulls,USF,South Florida,56,906,99,83,16,83.8%,553,63,48,15,76.2%,353,17,16,1,94.1%,1,1,0
88,2350,Red Raiders,Texas Tech,Texas Tech University,Texas Tech,TTU,BBC,,2350,BBC,Red Raiders,TTU,Texas Tech,53,901,90,82,8,91.1%,563,65,60,5,92.3%,338,15,13,2,86.7%,2,1,1
88,730238720,Spartans,UNC Greensboro,UNC Greensboro,UNC Greensboro,UNCG,BBC,,730238720,BBC,Spartans,UNCG,UNC Greensboro,54,875,92,82,10,89.1%,523,65,57,8,87.7%,352,21,19,2,90.5%,0,0,0
88,730174976,Broncs,Rider,Rider University,Rider,RID,BBC,,730174976,BBC,Broncs,RID,Rider,52,984,110,82,28,74.5%,614,82,59,23,72.0%,370,16,13,3,81.3%,5,3,2
88,730288896,Gaels,Saint Mary's,Saint Mary's College (CA),Saint Mary's,SMC,BBC,,730288896,BBC,Gaels,SMC,Saint Mary's,62,1120,107,82,25,76.6%,662,85,63,22,74.1%,458,10,8,2,80.0%,1,0,1
92,100,Yellow Jackets,Georgia Tech,Georgia Tech,Georgia Tech,GT,BBC,,100,BBC,Yellow Jackets,GT,Georgia Tech,60,1118,92,81,11,88.0%,669,69,59,10,85.5%,449,10,9,1,90.0%,0,0,0
92,730210304,Retrievers,UMBC,UMBC,UMBC,UMBC,BBC,,730210304,BBC,Retrievers,UMBC,UMBC,46,744,95,81,14,85.3%,446,70,56,14,80.0%,298,12,12,0,100.0%,1,1,0
92,730349824,Salukis,Southern Illinois,Southern Illinois University,Southern Illinois,SIU,BBC,,730349824,BBC,Salukis,SIU,Southern Illinois,57,1014,97,81,16,83.5%,618,72,59,13,81.9%,396,16,15,1,93.8%,2,0,2
92,730298112,Cougars,SIU Edwardsville,Southern Illinois Univ.-Edwardsville,SIU Edwardsville,SIUE,BBC,,730298112,BBC,Cougars,SIUE,SIU Edwardsville,54,864,100,81,19,81.0%,509,73,57,16,78.1%,355,16,13,3,81.3%,1,1,0
96,5045,Horned Frogs,TCU,Texas Christian University,TCU,TCU,BBC,,5045,BBC,Horned Frogs,TCU,TCU,59,1011,98,80,18,81.6%,664,77,62,15,80.5%,347,14,11,3,78.6%,0,0,0
96,730218752,Golden Griffins,Canisius,Canisius College,Canisius,CAN,BBC,,730218752,BBC,Golden Griffins,CAN,Canisius,45,742,92,80,12,87.0%,446,73,64,9,87.7%,296,13,11,2,84.6%,1,0,1
98,730219520,Governors,Austin Peay,Austin Peay State University,Austin Peay,PEAY,BBC,,730219520,BBC,Governors,PEAY,Austin Peay,59,1114,101,79,22,78.2%,621,72,53,19,73.6%,493,14,14,0,100.0%,5,2,3
98,5379,Flames,Illinois-Chicago,University of Illinois-Chicago,Illinois-Chicago,UIC,BBC,,5379,BBC,Flames,UIC,Illinois-Chicago,55,990,101,79,22,78.2%,605,78,57,21,73.1%,385,15,14,1,93.3%,0,0,0
98,730371584,River Hawks,UMass Lowell,UMass Lowell,UMass Lowell,MASSL,BBC,,730371584,BBC,River Hawks,MASSL,UMass Lowell,53,829,95,79,16,83.2%,506,61,53,8,86.9%,323,18,11,7,61.1%,3,2,1
